Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou:,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
13/03/2020 10:41:225,UNILA,ET - Exatas,LK,Ciências Exatas,2018,FATEC  SP,,,,,2,Não,1,5,Não,AFFHG,Definitivamente não,9,Conseguir um emprego.,FS,Não,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,168,58,13/03/1996,Trabalho ocasional,Com os pais,2,Interior do Paraná,A e B (moto e carro),Transporte público,30,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",45,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:244,IFPR,AG - Agrárias,ASX,Ciências Biológicas,1991,Unifil,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,CAPES,1,10,Não,HKFFH,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,FSAA,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,161,50,21/11/1968,Trabalho por contrato,Com outros familiares,2,Curitiba,B (carro),Carro/moto próprio,150,0,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",53,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:263,UTFPR,ET - Exatas,YG,Ciências Exatas,2006,UFF,,,,,1,CAPES,2,0,Não,EDCS,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,SF,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,158,69,25/06/1983,Trabalho com carteira assinada/Vínculo Formal,Com amigos,1,Região metropolitana,B (carro),Transporte público,90,3,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:282,UFPR,"AC - Artes, Comunicação e Design",Mestrado Acadêmico,Ciências Exatas,2014,UNESP- Araraquara-SP,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",2003,2005,UFPR,1,Não,0,2,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,AF,Não,Remota,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,165,57,13/09/1992,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,5,Interior do Paraná,B (carro),Carro/moto próprio,50,0,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",60,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:301,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Exatas,2016,utfpr,"Iniciação científica, PET, Monitoria, Projeto de extensão",2013,2015,UFPR,4,CAPES,1,0,Não,Excel,Não sei ainda,6,AASFASF,AF,Não,Presencial,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,174,75,15/12/1993,Trabalho por contrato,"Pensão, quarto alugado ou algo similar",1,Outro Estado,B (carro),Carro/moto próprio,15,4,"Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo",Facebook,54,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:320,UFPR,BL - Ciências Biológicas,Doutorado,Ciências Humanas,2013,universidade do contestado - campus Concórdia-SC,"Iniciação científica, PET, Monitoria, Empresa Júnior",2015,2016,universidade regional integrada do alto uruguai e das missões - campus Erechim-RS,2,Não,1,2,Sim,Excel,Definitivamente não,10,JHGF,FAF,Não,Remota,Não,Sim,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,168,70,29/12/1989,Bolsista em tempo integral,Sozinho,1,Outro País,A e B (moto e carro),Bicicleta,20,4,"Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",57,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:339,UFPR,SA - Sociais Aplicadas,Doutorado,Ciências Humanas,2018,UFPR,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",,2020,UFPR,3,CAPES,1,0,Sim,Excel,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FF,Sim,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,172,83,19/06/1996,PKLFA,Com os pais,1,Curitiba,B (carro),Carro/moto próprio,40,3,Não possuo,Violão,"Facebook, Instagram",56,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:358,UFPR,ET - Exatas,Doutorado,Ciências Exatas,2015,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,CNPQ,2,3,Sim,"R, SAS, Excel",Não sei ainda,9,Conseguir um emprego.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Não,Não,Totalmente em escola pública,F,Masculino,171,63,24/02/1987,ASFA,Com amigos,2,Região metropolitana,B (carro),Transporte público,90,0,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",63,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:377,UFPR,JD - Jurídicas,Mestrado Acadêmico,Ciências Biológicas,2017,UFPR,"PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,LACTEC,1,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Definitivamente não,6,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,166,64,28/11/1990,FE,Com os pais,3,Curitiba,B (carro),Transporte público,60,4,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",35,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:396,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Exatas,2016,UFPR,"PET, Monitoria",2016,2018,UFPR,1,SIMEPAR,1,1,Não,"R, SAS, Minitab, Statistica, SPSS, Excel",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,170,60,11/05/1982,GDF,Com outros familiares,1,Interior do Paraná,B (carro),Carro/moto próprio,3,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",60,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:415,UFPR,CH - Humanas,Mestrado Acadêmico,Ciências Exatas,2017,UFPR,"PET, Monitoria",,2020,,0,Fundação Araucária,1,8,Sim,"R, SAS, Minitab, Statistica, SPSS, Matlab",Certamente sim,6,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,157,64,06/02/1995,Trabalho ocasional,Com amigos,2,Curitiba,B (carro),Bicicleta,15,10,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:434,UFPR,CT - Ciências da Terra,Mestrado Profissional,Ciências Exatas,2008,UNIBRASIL,"PET, Monitoria",,,,3,Não,0,1,Sim,"R, SAS, Minitab, Statistica, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por alguma outra mídia social da UFPR,Sim,Presencial,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,187,74,05/01/1982,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,8,Região metropolitana,B (carro),Carro/moto próprio,90,0,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",42,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:453,UFPR,EP - Educação Profissional e Tecnológica,Doutorado,Ciências Humanas,204,UFU,"PET, Monitoria",2018,,,2,Não,2,1,Sim,"R, SAS, Minitab, SPSS, Excel, Matlab",Não sei ainda,10,AASFASF,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,170,86,27/07/1993,Trabalho com carteira assinada/Vínculo Formal,"Pensão, quarto alugado ou algo similar",2,Interior do Paraná,B (carro),A pé,20,5,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:472,UFPR,ED - Educação,Pós-Doutorado,Ciências Humanas,2008,UFPR,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Não,1,0,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Definitivamente não,10,JHGF,Pelo(a) orientador(a),Sim,Presencial,Não,Não,Totalmente em escola particular,ASFAF,Masculino,158,70,17/02/1983,Trabalho ocasional,Sozinho,2,Outro Estado,A e B (moto e carro),Carro/moto próprio,30,0,"Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo",Facebook,50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:491,UFPR,SL - Litoral,Professor,Ciências Exatas,2012,Unipar,"Iniciação científica, PET, Monitoria, Projeto de extensão",2015,2017,UFPR,1,CAPES,1,1,Sim,"R, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por ex-alunos da Disciplina,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,180,87,27/01/1986,Trabalho por contrato,Com os pais,1,Outro País,A e B (moto e carro),Transporte público,55,0,Não possuo,Violão,"Facebook, Instagram",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:510,UFPR,SP - Palotina,FGH,Ciências Biológicas,2018,UniBrasil,"Iniciação científica, PET, Monitoria, Empresa Júnior",2017,2019,UEPG,0,CAPES,1,6,Sim,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Não sei ainda,9,Conseguir um emprego.,Por colegas,Sim,Presencial,Não,Sim,Totalmente em escola particular,F,Masculino,180,110,18/02/1995,Bolsista em tempo integral,Com amigos,1,Curitiba,A e B (moto e carro),Carro/moto próprio,120,1,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:529,UFPR,TC - Tecnologia,JHG,Ciências Exatas,2000,UFRGS,"Iniciação científica, PET, Projeto de extensão, Empresa Júnior",2012,2015,UFSM,5,Não,1,1,Sim,ASFDAF,Definitivamente não,10,Conseguir um emprego.,ASFA,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,165,110,20/12/1978,PKLFA,Com os pais,3,Região metropolitana,A e B (moto e carro),Carro/moto próprio,15,1,Não possuo,Violão,"Facebook, Instagram",32,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:548,ADFSA,ET - Exatas,WS,Ciências Exatas,2015,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,1,CAPES,1,0,Sim,AFFHG,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,FS,Não,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,176,87,26/02/1991,ASFA,Com outros familiares,1,Curitiba,Não,Transporte público,15,5,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",40,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:567,ASFDA,AG - Agrárias,LK,Ciências Exatas,2014,Unicentro,"PET, Monitoria, Projeto de extensão, Empresa Júnior",,,,1,Não,1,0,Não,HKFFH,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FSAA,Não,Presencial,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,197,120,22/11/1991,FE,Com amigos,1,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,180,0,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",38,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:586,E,ET - Exatas,ASX,Ciências Humanas,2009,PUCPR,AJKSFHAKF,2016,2018,UFPR,1,CAPES,1,0,Sim,EDCS,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,SF,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,154,75,02/03/1985,GDF,Com o namorado(a)/noivo(a)/cônjuge,5,Curitiba,B (carro),Carro/moto próprio,20,0,"Cachorro, Gato, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",52,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:605,GFH,AG - Agrárias,YG,Ciências Humanas,2017,UFRGS,ASFDASF,2014,2016,UFRGS,2,CNPQ,1,7,Sim,Excel,Não sei ainda,10,AASFASF,AF,Não,Presencial,Não,Sim,Totalmente em escola particular,ASFAF,Masculino,179,63,11/12/1994,Trabalho ocasional,"Pensão, quarto alugado ou algo similar",1,Região metropolitana,Não,Táxi/Aplicativo,25,20,"Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:624,HG,BL - Ciências Biológicas,Mestrado Acadêmico,Ciências Exatas,2018,UFPR,HGJJHGJ,2014,2016,UFPR,0,LACTEC,0,0,Não,Excel,Definitivamente não,0,JHGF,AF,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,172,69,27/03/1995,Trabalho por contrato,Sozinho,2,Interior do Paraná,B (carro),A pé,20,10,"Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:643,FJHGJH,ET - Exatas,Mestrado Acadêmico,Ciências Biológicas,2015,UEM,ERSFS,,2020,UFPR,1,SIMEPAR,1,9,Sim,Excel,Certamente sim,6,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,FAF,Não,Presencial,Não,Não,Totalmente em escola pública,F,Masculino,177,73,30/09/1990,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Outro Estado,B (carro),Carro/moto próprio,10,10,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo",Facebook,50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:662,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2006,Universidade da região de Joinville ,"ASFAF, Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",2018,2020,UFPR,0,Fundação Araucária,1,6,Sim,Excel,Não sei ainda,10,Conseguir um emprego.,FF,Não,Remota,Sim,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,173,66,13/02/1980,Trabalho ocasional,Com amigos,0,Outro País,A e B (moto e carro),Carro/moto próprio,5,0,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",63,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:681,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Humanas,2006,UFPR,"PET, Monitoria",2017,2019,UFPR,2,Não,1,0,Sim,"R, SAS, Excel",Definitivamente não,8,Conseguir um emprego.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,173,95,31/12/1984,Trabalho por contrato,Com os pais,1,Curitiba,Não,Transporte público,60,15,Não possuo,Violão,"Facebook, Instagram",35,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:700,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Humanas,2012,Pontifícia Universidade Católica do Paraná,"Iniciação científica, PET, Monitoria, Projeto de extensão, Empresa Júnior",,,UFPR,1,Não,0,0,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Presencial,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,172,82,28/01/1989,Bolsista em tempo integral,Com outros familiares,1,Região metropolitana,B (carro),Carro/moto próprio,20,3,Não possuo,Violão,"Facebook, Instagram",42,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:719,UFPR,AG - Agrárias,Mestrado Profissional,Ciências Exatas,2014,Universidade Estadual de Maringá - UEM,"Iniciação científica, PET, Monitoria, Projeto de extensão",2012,2014,UFPR,1,Não,1,1,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,180,73,09/10/1992,PKLFA,Com amigos,1,Curitiba,A e B (moto e carro),Carro/moto próprio,10,2,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",45,A se chama Bouba e B se chama Kiki.
